"ID","alpha","block","diff","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","22","NA","22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NA","NA","NA","NA","Female","NA","Female","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","0.191309231","1","easy","secret","2965","1407","124597","Ok","4129","secret","3593","894.7575751354364","siri","117265","117695","127322","123190","122194","117702","NA","123190","118598","118598","NA","1"
"50","0.315827273","1","difficult","society","2965","2","135303","Ok","5354","chama","3193","409.58379972427724","chama","117265","130695","127322","135301","134304","130698","140658","135301","131109","131108","NA","2"
"37","0.167559091","1","easy","skirt","2965","920","151440","Ok","2152","skirt","4542","949.7992471645304","skati","117265","144024","152675","150520","149523","144027","140658","150520","144978","144978","NA","3"
"32","0.344718182","1","difficult","party","2965","872","161942","Ok","1815","party","3202","838.9149075702992","karamu","117265","156027","162888","161070","160074","156030","140658","161071","156869","156869","NA","4"
"51","0.39958806","1","difficult","church","2965","806","171380","Ok","2511","church","2713","585.6994563530925","kanisa","117265","166273","173088","170574","169578","166277","140658","170575","166864","166863","NA","5"
"56","0.305624242","1","difficult","interest","2965","854","181484","Ok","5711","interest","2509","672.0963631730752","maslahi","117265","176446","186343","180630","179634","176449","140658","180630","177123","177122","NA","6"
"64","0.353060606","1","difficult","boy","2965","2244","195849","Ok","2908","boy","2241","650.7866871914807","kijana","117265","189709","196515","193605","192608","189712","140658","193605","190364","190364","NA","7"
"34","0.175557576","1","easy","grandmother","2965","791","203737","Ok","5793","grandmother","1526","533.2364489192479","bibi","117265","199882","208742","202946","201949","199884","140658","202946","200420","200420","NA","8"
"44","0.199686567","1","easy","soul","2965","1370","216369","Ok","2459","soul","1405","493.39628149627276","roho","117265","212097","217461","214999","214003","212100","140658","214999","212595","212595","NA","9"
"27","0.222377273","1","easy","sky","2965","781","224381","Ok","1405","sky","1099","669.3826810606115","anga","117265","220828","225008","223600","222604","220831","140658","223600","221502","221502","NA","10"
"37","0.167559091","1","easy","skirt","2965","1986","242119","Ok","3706","skirt","9995","731.6266762459792","skati","117265","228402","243842","240133","239135","228405","140658","240133","229138","221502","229138","11"
"51","0.39958806","1","difficult","church","2965","270","254659","Ok","1874","church","5313","868.9639926436049","kanisa","117265","247205","256265","254389","253392","247207","140658","254389","248077","221502","248076","12"
"44","0.199686567","1","easy","soul","2965","464","263109","Ok","1338","soul","1579","436.52728880345603","roho","117265","259628","263986","262645","261649","259631","140658","262645","260068","221502","260068","13"
"64","0.353060606","1","difficult","boy","2965","2","295513","Ok","2410","river","26377","772.2613732717228","kijana","117265","267358","263986","295511","294514","267361","297924","295511","268135","221502","268135","14"
"27","0.222377273","1","easy","sky","2965","503","308161","Ok","2083","girl","4955","417.1648443360545","anga","117265","301282","263986","307658","306662","301285","309744","307659","301704","221502","301704","15"
"50","0.315827273","1","difficult","society","2965","697","324327","Ok","1576","sky","8823","693.7852879962286","chama","117265","313110","263986","323630","322634","313113","325209","323630","313808","221502","313808","16"
"34","0.175557576","1","easy","grandmother","2965","317","332002","Ok","2671","grandmother","1132","949.5072064037944","bibi","117265","328599","334360","331685","330689","328603","325209","331686","329554","221502","329554","17"
"56","0.305624242","1","difficult","interest","2965","403","347843","Ok","1268","sky","8242","472.92425265908116","maslahi","117265","337723","334360","347440","346444","337725","348711","347440","338199","221502","338199","18"
"49","0.191309231","1","easy","secret","2965","416","356804","Ok","2188","secret","2452","862.0049017357743","siri","117265","352071","358579","356388","355392","352073","348711","356388","352937","221502","352937","19"
"32","0.344718182","1","difficult","party","2965","387","365487","Ok","1782","party","1475","684.2723242841519","karamu","117265","361937","366884","365100","364103","361940","348711","365100","362626","221502","362625","20"
"44","0.199686567","1","easy","soul","2965","749","377320","Ok","1487","soul","4496","821.6825192648902","roho","117265","370249","378061","376571","375575","370252","348711","376571","371076","221502","371076","21"
"64","0.353060606","1","difficult","boy","2965","567","386584","Ok","1554","church","2981","597.2639440117981","kijana","117265","381433","378061","386017","385020","381437","387574","386017","382036","221502","382036","22"
"37","0.167559091","1","easy","skirt","2965","397","394738","Ok","1527","skirt","1510","891.6507765344579","skati","117265","390936","395871","394341","393344","390939","387574","394341","391832","221502","391831","23"
"32","0.344718182","1","difficult","party","2965","499","403544","Ok","1746","party","2059","749.3385023899776","karamu","117265","399232","404793","403045","402048","399235","387574","403045","399986","221502","399986","24"
"56","0.305624242","1","difficult","interest","2965","359","420799","Ok","1613","society","10712","577.8537353253982","maslahi","117265","408149","404793","420440","419444","408152","422056","420441","408731","221502","408730","25"
"27","0.222377273","1","easy","sky","2965","318","436876","Ok","1526","society","9348","788.1434686181697","anga","117265","425417","404793","436558","435560","425420","438087","436558","426210","221502","426210","26"
"34","0.175557576","1","easy","grandmother","2965","379","444208","Ok","2451","grandmother","826","538.4307011974591","bibi","117265","441461","446282","443829","442832","441464","438087","443829","442004","221502","442004","27"
"50","0.315827273","1","difficult","society","2965","368","457256","Ok","1507","society","5742","510.64767587043843","chama","117265","449633","458398","456888","455892","449636","438087","456888","450148","221502","450147","28"
"51","0.39958806","1","difficult","church","2965","280","469514","Ok","818","girl","5992","477.75611884405754","kanisa","117265","461761","458398","469234","468237","461764","470055","469234","462243","221502","462243","29"
"49","0.191309231","1","easy","secret","2965","337","476547","Ok","2102","secret","1323","425.6770220820164","siri","117265","473459","478315","476210","475214","473462","470055","476210","473889","221502","473888","30"
"56","0.305624242","1","difficult","interest","2965","292","492931","Ok","1770","interest","9021","935.3914266163742","maslahi","117265","481678","494412","492639","491641","481680","470055","492639","482617","221502","482617","31"
"49","0.191309231","1","easy","secret","2965","555","500862","Ok","1936","secret","849","654.9019484303244","siri","117265","497799","502246","500307","499309","497802","470055","500307","498458","221502","498458","32"
"44","0.199686567","1","easy","soul","2965","4942","516256","Ok","7825","society","3926","746.735766648183","roho","117265","505640","502246","511314","510317","505642","519142","511314","506390","221502","506389","33"
"37","0.167559091","1","easy","skirt","2965","343","525704","Ok","1096","skirt","1120","682.9311986274697","skati","117265","522554","526460","525361","524364","522557","519142","525361","523241","221502","523241","34"
"32","0.344718182","1","difficult","party","2965","366","532879","Ok","1343","party","1015","664.192295137611","karamu","117265","529830","533858","532513","531517","529832","519142","532514","530499","221502","530499","35"
"50","0.315827273","1","difficult","society","2965","393","541331","Ok","1462","church","2027","641.2079056451278","chama","117265","537265","533858","540938","539941","537269","542403","540938","537912","221502","537912","36"
"34","0.175557576","1","easy","grandmother","2965","1654","550023","Ok","3178","grandmother","906","691.921115434784","bibi","117265","545767","551550","548369","547372","545770","542403","548369","546463","221502","546463","37"
"64","0.353060606","1","difficult","boy","2965","541","558040","Ok","902","boy","1162","414.25018844999","kijana","117265","554920","558404","557499","556503","554923","542403","557500","555338","221502","555338","38"
"27","0.222377273","1","easy","sky","2965","401","569946","Ok","1228","sky","6294","483.80630194140355","anga","117265","561764","570776","569545","568549","561767","542403","569546","562252","221502","562252","39"
"51","0.39958806","1","difficult","church","2965","330","582065","Ok","1116","church","5853","734.4875158840904","kanisa","117265","574144","582854","581735","580738","574147","542403","581735","574883","221502","574882","40"
"32","0.344718182","1","difficult","party","2965","355","589023","Ok","1278","party","895","552.9409258632218","karamu","117265","586219","589949","588668","587672","586222","542403","588669","586775","221502","586775","41"
"37","0.167559091","1","easy","skirt","2965","357","596184","Ok","1091","skirt","702","809.4518241454186","skati","117265","593312","596921","595827","594830","593315","542403","595827","594126","221502","594125","42"
"56","0.305624242","1","difficult","interest","2965","268","607359","Ok","1762","interest","5082","691.6291864029836","maslahi","117265","600313","608857","607091","606094","600316","542403","607092","601009","221502","601009","43"
"27","0.222377273","1","easy","sky","2965","287","616049","Ok","764","sky","1643","897.0196176788825","anga","117265","612219","616529","615762","614765","612222","542403","615762","613121","221502","613120","44"
"34","0.175557576","1","easy","grandmother","2965","334","623112","Ok","2138","grandmother","965","905.0542698568001","bibi","117265","619902","624920","622778","621782","619905","542403","622778","620812","221502","620812","45"
"64","0.353060606","1","difficult","boy","2965","399","631287","Ok","1494","boy","1003","599.9410229450539","kijana","117265","628282","632385","630888","629892","628285","542403","630888","628886","221502","628886","46"
