"ID","alpha","block","diff","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","23","NA","23","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","white","NA","legacy","legacy","legacy","0","uniform","0","0","NA","0","NA","NA","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","Wed Sep 24 12:55:40 2025","The main experiment item","NA","False","NA","NA","Swahili.osexp","C:\Users\elian\Documents\Uni\MSc\Methods_ASM\SwahiliExp\cuddly-doodle","False","mono","False","32","no","black","no","Female","yes","1035","NA","NA","legacy","C:\Users\elian\Documents\Uni\MSc\Methods_ASM\SwahiliExp\cuddly-doodle\subject-14.csv","legacy","Neonatal Nightingale","4.1.0","NA","23","2","legacy","1024","2","48000","-16","experiment","14","even","NA","3175","418349","NA","NA","NA","NA","NA","NA","418366","443883","NA","NA","3164","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Pilot test","NA","yes","1663"
"3","0.294386567164179","1","difficult","fish","2465","1893","475957","Ok","2803","fish","4105","640.4725634374215","samaki","467894","468315","476870","474064","473067","468319","NA","474064","468961","468960","NA","1"
"61","0.158680303030303","1","easy","lemon","2465","592","484917","Ok","1491","lemon","2677","912.7463380668217","limau","467894","479733","485819","484325","483328","479736","NA","484325","480650","480649","NA","2"
"62","0.355907575757576","1","difficult","rope","2465","487","502931","Ok","1235","rope","12286","473.3910025192646","kamba","467894","488683","503682","502444","501448","488686","NA","502445","489160","489160","NA","3"
"19","0.287497014925373","1","difficult","wheel","2465","634","516540","Ok","1389","wheel","7380","979.107428838591","duara","467894","506543","517298","515906","514909","506546","NA","515906","507527","507527","NA","4"
"57","0.209593846153846","1","easy","bus","2465","524","525843","Ok","3067","bus","3590","556.8245729540121","basi","467894","520170","528389","525319","524322","520173","NA","525319","520731","520730","NA","5"
"44","0.199686567164179","1","easy","soul","2465","401","541063","Ok","841","soul","7464","948.1205507214441","roho","467894","531245","541506","540662","539666","531250","NA","540663","532200","532199","NA","6"
"54","0.207071212121212","1","easy","glasses","2465","370","562123","Ok","1351","glasses","15385","996.2594830063127","degaga","467894","544368","563107","561753","560756","544371","NA","561753","545369","545369","NA","7"
"50","0.315827272727273","1","difficult","society","2465","990","569756","Ok","2337","society","1248","538.2342034011679","chama","467894","565975","571106","568766","567770","565978","NA","568767","566518","566518","NA","8"
"5","0.34374","1","difficult","office","2465","295","589694","Ok","1655","office","13926","496.8236363575918","afisi","467894","573974","591057","589399","588403","573977","NA","589400","574475","574474","NA","9"
"2","0.178725757575757","1","easy","beer","2465","300","597805","Ok","1482","beer","1983","597.3566983649405","pombe","467894","593922","598990","597505","596509","593925","NA","597506","594524","594523","NA","10"
"57","0.209593846153846","1","easy","bus","1965","411","609012","Ok","966","bus","4856","843.601050428907","basi","467894","601898","609569","608601","607604","601901","NA","608601","602745","594523","602745","11"
"50","0.315827272727273","1","difficult","society","1965","291","615059","Ok","1059","society","909","924.9429007221335","chama","467894","611931","615830","614768","613771","611934","NA","614768","612860","594523","612859","12"
"44","0.199686567164179","1","easy","soul","1965","286","620928","Ok","662","soul","1009","441.63306223524506","roho","467894","618188","621306","620642","619646","618191","NA","620642","618634","594523","618634","13"
"5","0.34374","1","difficult","office","1965","297","626715","Ok","1490","office","943","800.6850655443213","afisi","467894","623669","627911","626418","625421","623673","NA","626418","624475","594523","624474","14"
"2","0.178725757575757","1","easy","beer","1965","263","632667","Ok","655","beer","595","529.2205798286128","pombe","467894","630276","633062","632404","631408","630279","NA","632405","630810","594523","630810","15"
